VentaID,Fecha,Hora,Producto,Categoria,ClienteNombre,ClienteCiudad,MedioPago,Unidades,PrecioUnit,DescuentoPct
1,2023-01-31,09:06,Latte,Bebida,Carla,Madrid,Google Pay,1,3.68,0
2,2023-01-31,14:38,Té,Bebida,Carla,Madrid,Efectivo,1,2.55,5
3,2023-01-31,11:18,Latte,Bebida,Iván,Valencia,Tarjeta,2,3.43,0
4,2023-01-31,11:16,Cookie,Comida,Pablo,Madrid,Efectivo,1,1.76,10
5,2023-01-31,17:14,Tostada,Comida,Laura,Madrid,Tarjeta,1,1.96,0
6,2023-01-31,13:51,Americano,Bebida,Bruno,Sevilla,Tarjeta,1,2.0,0
7,2023-01-31,19:06,Latte,Bebida,Iván,Valencia,Tarjeta,1,3.57,0
8,2023-02-01,12:36,Cookie,Comida,Sergio,Madrid,Tarjeta,2,1.8,0
9,2023-02-01,16:27,Té,Bebida,Ana,Madrid,Bizum,1,2.5,0
10,2023-02-01,09:30,Chocolate,Bebida,Lucía,Madrid,Apple Pay,1,2.94,0
11,2023-02-01,08:10,Cappuccino,Bebida,Sergio,Madrid,Tarjeta,2,3.26,0
12,2023-02-01,17:38,Croissant,Comida,Pablo,Madrid,Tarjeta,1,2.2,0
13,2023-02-01,19:23,Americano,Bebida,Lucía,Madrid,Tarjeta,2,2.04,0
14,2023-02-02,12:21,Chocolate,Bebida,Pablo,Madrid,Tarjeta,1,3.06,0
15,2023-02-02,10:22,Latte,Bebida,Sofía,Madrid,Tarjeta,2,3.5,0
16,2023-02-02,14:17,Chocolate,Bebida,Nuria,Bilbao,Tarjeta,1,3.0,0
17,2023-02-02,12:14,Cappuccino,Bebida,Diego,Barcelona,Apple Pay,1,3.36,0
18,2023-02-02,13:37,Brownie,Comida,Mario,Madrid,Tarjeta,1,2.86,0
19,2023-02-02,11:27,Cappuccino,Bebida,Pablo,Madrid,Apple Pay,1,3.2,10
20,2023-02-02,07:34,Cookie,Comida,Pablo,Madrid,Tarjeta,1,1.8,0
21,2023-02-03,19:17,Cookie,Comida,Marta,Madrid,Tarjeta,1,1.8,0
22,2023-02-03,14:11,Latte,Bebida,Elena,Madrid,Tarjeta,1,3.68,0
23,2023-02-03,11:03,Tostada,Comida,Diego,Barcelona,Tarjeta,1,1.96,0
24,2023-02-03,10:04,Latte,Bebida,Lucía,Madrid,Tarjeta,1,3.68,0
25,2023-02-03,17:58,Latte,Bebida,Sergio,Madrid,Tarjeta,1,3.5,0
26,2023-02-03,09:35,Croissant,Comida,Diego,Barcelona,Tarjeta,1,2.24,0
27,2023-02-03,08:57,Bocadillo,Comida,Iván,Valencia,Apple Pay,1,4.5,15
28,2023-02-03,16:18,Chocolate,Bebida,Marta,Madrid,Tarjeta,1,3.0,0
29,2023-02-03,07:57,Croissant,Comida,Laura,Madrid,Tarjeta,1,2.31,10
30,2023-02-03,16:20,Americano,Bebida,Hugo,Zaragoza,Tarjeta,1,2.0,10
31,2023-02-04,13:07,Té,Bebida,Carla,Madrid,Apple Pay,1,2.62,0
