PedidoID,FechaPedido,Canal,Tienda,ClienteEmail,ClienteNombre,CiudadEnvio,MetodoPago,EstadoPedido
1000001,2023-01-31,Online,-,cliente0038@nordco.es,Nuria Pérez,Bilbao,Bizum,Entregado
1000002,2023-01-31,Online,-,cliente0382@nordco.es,Jorge Ruiz,Alicante,Tarjeta,Entregado
1000003,2023-01-31,Online,-,cliente0298@nordco.es,Ana García,Zaragoza,Tarjeta,Entregado
1000004,2023-01-31,Online,-,cliente0039@nordco.es,Claudia Martín,Madrid,Tarjeta,Entregado
1000005,2023-01-31,Fisico,Diagonal,cliente0364@nordco.es,Elena García,Barcelona,Tarjeta,Entregado
1000006,2023-02-01,Fisico,Triana,cliente0189@nordco.es,Hugo Martín,Sevilla,Bizum,Entregado
1000007,2023-02-01,Online,-,cliente0404@nordco.es,Claudia Martín,Bilbao,Tarjeta,Entregado
1000008,2023-02-01,Online,-,cliente0126@nordco.es,Elena Martín,Málaga,Bizum,Entregado
1000009,2023-02-01,Fisico,Colón,cliente0427@nordco.es,Marta Díaz,Valencia,Tarjeta,Entregado
1000010,2023-02-01,Fisico,Diagonal,cliente0105@nordco.es,Sara Sánchez,Barcelona,Tarjeta,Entregado
1000011,2023-02-02,Fisico,Sol,cliente0032@nordco.es,Elena García,Madrid,Bizum,Entregado
1000012,2023-02-02,Online,-,cliente0308@nordco.es,Mario Martín,Sevilla,Bizum,Entregado
1000013,2023-02-02,Fisico,Triana,cliente0246@nordco.es,Bruno Hernández,Sevilla,Apple Pay,Entregado
1000014,2023-02-02,Online,-,cliente0205@nordco.es,Nuria García,Sevilla,Tarjeta,Devuelto
1000015,2023-02-02,Online,-,cliente0075@nordco.es,Mario García,Zaragoza,Tarjeta,Entregado
1000016,2023-02-03,Fisico,Gran Via,cliente0181@nordco.es,Claudia Sánchez,Madrid,Tarjeta,Entregado
1000017,2023-02-03,Online,-,cliente0214@nordco.es,Sofía Romero,Sevilla,Tarjeta,Entregado
1000018,2023-02-03,Online,-,cliente0055@nordco.es,Ana Navarro,Valencia,PayPal,Entregado
1000019,2023-02-03,Fisico,Sol,cliente0316@nordco.es,Sofía Pérez,Madrid,Tarjeta,Entregado
1000020,2023-02-03,Fisico,Diagonal,cliente0229@nordco.es,Nuria Martín,Barcelona,ContraReembolso,Entregado
1000021,2023-02-03,Online,-,cliente0019@nordco.es,Claudia García,Málaga,ContraReembolso,Entregado
1000022,2023-02-04,Online,-,cliente0175@nordco.es,Nuria Ruiz,Barcelona,Google Pay,Entregado
1000023,2023-02-04,Fisico,Sol,cliente0339@nordco.es,Nuria García,Madrid,Google Pay,Entregado
1000024,2023-02-04,Online,-,cliente0261@nordco.es,Sara Ruiz,Sevilla,Tarjeta,Entregado
1000025,2023-02-04,Online,-,cliente0314@nordco.es,Jorge García,Zaragoza,Tarjeta,Entregado
1000026,2023-02-04,Fisico,Diagonal,cliente0047@nordco.es,Lucía Romero,Barcelona,Google Pay,Entregado
1000027,2023-02-04,Online,-,cliente0087@nordco.es,Ana Díaz,Bilbao,Apple Pay,Cancelado
1000028,2023-02-04,Online,-,cliente0093@nordco.es,Ana Díaz,Málaga,Bizum,Devuelto
1000029,2023-02-05,Online,-,cliente0028@nordco.es,Sofía Sánchez,Zaragoza,PayPal,Entregado
1000030,2023-02-05,Fisico,Colón,cliente0238@nordco.es,Sofía Ruiz,Valencia,ContraReembolso,Entregado
