ReservaID,FechaReserva,CanalID,CanalVenta,ClienteID,ClienteEmail,ClienteNombre,SeguroSiNo,EstadoReserva
3000001,2023-01-31,CH01,Web,C0354,cliente0354@viajaya.es,Marta Ruiz,No,Confirmada
3000002,2023-01-31,CH01,Web,C0246,cliente0246@viajaya.es,David Hernández,Sí,Confirmada
3000003,2023-01-31,CH01,Web,C0621,cliente0621@viajaya.es,Nuria Ruiz,No,Cancelada
3000004,2023-02-01,CH02,Teléfono,C0059,cliente0059@viajaya.es,Laura López,No,Confirmada
3000005,2023-02-01,CH03,Agencia física,C0362,cliente0362@viajaya.es,Ana Navarro,Sí,Confirmada
3000006,2023-02-01,CH01,Web,C0625,cliente0625@viajaya.es,Bruno Martín,Sí,Confirmada
3000007,2023-02-02,CH01,Web,C0280,cliente0280@viajaya.es,Bruno Hernández,No,Confirmada
3000008,2023-02-02,CH01,Web,C0445,cliente0445@viajaya.es,Ana Romero,Sí,Confirmada
3000009,2023-02-02,CH01,Web,C0008,cliente0008@viajaya.es,Jorge López,No,Pendiente
3000010,2023-02-02,CH01,Web,C0188,cliente0188@viajaya.es,Ana Sánchez,Sí,Confirmada
3000011,2023-02-03,CH04,Partner,C0111,cliente0111@viajaya.es,Carla Ruiz,No,Confirmada
3000012,2023-02-03,CH01,Web,C0357,cliente0357@viajaya.es,Carla Navarro,No,Confirmada
3000013,2023-02-03,CH03,Agencia física,C0072,cliente0072@viajaya.es,Bruno Pérez,No,Confirmada
3000014,2023-02-03,CH02,Teléfono,C0538,cliente0538@viajaya.es,Marta Hernández,Sí,Confirmada
3000015,2023-02-04,CH04,Partner,C0008,cliente0008@viajaya.es,Jorge López,No,Confirmada
3000016,2023-02-04,CH03,Agencia física,C0446,cliente0446@viajaya.es,Hugo García,Sí,Confirmada
3000017,2023-02-04,CH03,Agencia física,C0575,cliente0575@viajaya.es,David López,No,Confirmada
3000018,2023-02-04,CH03,Agencia física,C0406,cliente0406@viajaya.es,Pablo Romero,No,Confirmada
3000019,2023-02-04,CH02,Teléfono,C0183,cliente0183@viajaya.es,Marta Martín,No,Confirmada
3000020,2023-02-04,CH03,Agencia física,C0522,cliente0522@viajaya.es,Bruno Díaz,Sí,Pendiente
3000021,2023-02-04,CH04,Partner,C0648,cliente0648@viajaya.es,Pablo Romero,Sí,Pendiente
3000022,2023-02-05,CH02,Teléfono,C0572,cliente0572@viajaya.es,Marta Navarro,No,Confirmada
3000023,2023-02-05,CH04,Partner,C0259,cliente0259@viajaya.es,Nuria Martín,No,Confirmada
3000024,2023-02-05,CH02,Teléfono,C0382,cliente0382@viajaya.es,Jorge García,No,Confirmada
3000025,2023-02-05,CH03,Agencia física,C0433,cliente0433@viajaya.es,Carla Hernández,Sí,Confirmada
3000026,2023-02-06,CH04,Partner,C0076,cliente0076@viajaya.es,Ana Pérez,Sí,Confirmada
3000027,2023-02-06,CH01,Web,C0362,cliente0362@viajaya.es,Ana Navarro,No,Confirmada
3000028,2023-02-06,CH02,Teléfono,C0418,cliente0418@viajaya.es,Elena García,Sí,Confirmada
3000029,2023-02-06,CH02,Teléfono,C0269,cliente0269@viajaya.es,Sofía Martín,No,Confirmada
3000030,2023-02-07,CH01,Web,C0027,cliente0027@viajaya.es,Hugo Martín,No,Confirmada
3000031,2023-02-07,CH03,Agencia física,C0430,cliente0430@viajaya.es,Pablo Ruiz,No,Cancelada
3000032,2023-02-07,CH02,Teléfono,C0011,cliente0011@viajaya.es,Nuria Romero,Sí,Cancelada
3000033,2023-02-07,CH01,Web,C0051,cliente0051@viajaya.es,Hugo García,No,Pendiente
3000034,2023-02-07,CH02,Teléfono,C0119,cliente0119@viajaya.es,Ana Ruiz,Sí,Confirmada
3000035,2023-02-07,CH02,Teléfono,C0147,cliente0147@viajaya.es,Nuria Ruiz,Sí,Confirmada
3000036,2023-02-08,CH02,Teléfono,C0262,cliente0262@viajaya.es,Bruno Sánchez,Sí,Confirmada
3000037,2023-02-08,CH02,Teléfono,C0045,cliente0045@viajaya.es,Bruno Pérez,No,Confirmada
3000038,2023-02-08,CH01,Web,C0520,cliente0520@viajaya.es,Hugo Díaz,No,Pendiente
3000039,2023-02-08,CH03,Agencia física,C0150,cliente0150@viajaya.es,Jorge García,Sí,Pendiente
3000040,2023-02-08,CH01,Web,C0243,cliente0243@viajaya.es,Hugo Díaz,No,Confirmada
3000041,2023-02-09,CH02,Teléfono,C0474,cliente0474@viajaya.es,Carla García,No,Confirmada
3000042,2023-02-09,CH03,Agencia física,C0634,cliente0634@viajaya.es,Lucía Hernández,No,Pendiente
3000043,2023-02-09,CH02,Teléfono,C0117,cliente0117@viajaya.es,Laura Pérez,No,Confirmada
3000044,2023-02-09,CH04,Partner,C0500,cliente0500@viajaya.es,Elena López,No,Pendiente
3000045,2023-02-09,CH01,Web,C0160,cliente0160@viajaya.es,David Sánchez,No,Confirmada
3000046,2023-02-09,CH03,Agencia física,C0016,cliente0016@viajaya.es,Mario López,No,Confirmada
3000047,2023-02-10,CH01,Web,C0325,cliente0325@viajaya.es,Mario Navarro,No,Confirmada
