UsuarioID,Email,Nombre,Pais,EdadGrupo
U00001,user00001@streambee.com,Irene López,Francia,35-44
U00002,user00002@streambee.com,David Romero,México,18-24
U00003,user00003@streambee.com,Irene Romero,España,45-54
U00004,user00004@streambee.com,Sergio Romero,Argentina,35-44
U00005,user00005@streambee.com,Laura Ruiz,Alemania,25-34
U00006,user00006@streambee.com,Mario García,Portugal,25-34
U00007,user00007@streambee.com,Elena Díaz,España,35-44
U00008,user00008@streambee.com,Mario Navarro,Argentina,55+
U00009,user00009@streambee.com,Pablo López,Reino Unido,55+
U00010,user00010@streambee.com,Jorge Díaz,España,25-34
U00011,user00011@streambee.com,Sofía García,Francia,45-54
U00012,user00012@streambee.com,Laura Ruiz,España,35-44
U00013,user00013@streambee.com,Laura Díaz,España,45-54
U00014,user00014@streambee.com,Pablo Pérez,España,18-24
U00015,user00015@streambee.com,Pablo Hernández,España,45-54
U00016,user00016@streambee.com,Jorge Díaz,México,25-34
U00017,user00017@streambee.com,Elena Pérez,España,18-24
U00018,user00018@streambee.com,David Navarro,Italia,45-54
U00019,user00019@streambee.com,Laura Romero,Reino Unido,35-44
U00020,user00020@streambee.com,Sofía Ruiz,Portugal,45-54
U00021,user00021@streambee.com,Marta Pérez,Reino Unido,25-34
U00022,user00022@streambee.com,Lucía Hernández,España,45-54
U00023,user00023@streambee.com,Nuria Martín,España,55+
U00024,user00024@streambee.com,Sergio Díaz,España,18-24
U00025,user00025@streambee.com,Jorge Martín,España,25-34
U00026,user00026@streambee.com,Hugo Navarro,España,25-34
U00027,user00027@streambee.com,Jorge Pérez,México,25-34
U00028,user00028@streambee.com,Elena Romero,España,25-34
U00029,user00029@streambee.com,Irene Pérez,Portugal,45-54
U00030,user00030@streambee.com,Nuria Díaz,Portugal,55+
U00031,user00031@streambee.com,Hugo Ruiz,Reino Unido,18-24
U00032,user00032@streambee.com,Elena Ruiz,Alemania,45-54
U00033,user00033@streambee.com,Carla Ruiz,España,55+
U00034,user00034@streambee.com,Ana García,Portugal,45-54
U00035,user00035@streambee.com,Mario Ruiz,España,45-54
U00036,user00036@streambee.com,David López,Francia,35-44
U00037,user00037@streambee.com,Elena Romero,España,55+
