ClienteID,Email,Nombre,PaisResidencia,CiudadResidencia
CL00001,cliente00001@bancofaro.es,Pablo Pérez,España,Barcelona
CL00002,cliente00002@bancofaro.es,Pablo Díaz,España,Alicante
CL00003,cliente00003@bancofaro.es,Irene Hernández,España,Bilbao
CL00004,cliente00004@bancofaro.es,Ana Navarro,España,Sevilla
CL00005,cliente00005@bancofaro.es,Nuria Romero,Francia,Valencia
CL00006,cliente00006@bancofaro.es,Lucía Hernández,España,Alicante
CL00007,cliente00007@bancofaro.es,Marta Ruiz,España,Zaragoza
CL00008,cliente00008@bancofaro.es,Hugo Martín,Portugal,Valencia
CL00009,cliente00009@bancofaro.es,Sergio García,España,Bilbao
CL00010,cliente00010@bancofaro.es,Nuria García,España,Alicante
CL00011,cliente00011@bancofaro.es,Sergio Romero,España,Valencia
CL00012,cliente00012@bancofaro.es,Jorge Pérez,España,Sevilla
CL00013,cliente00013@bancofaro.es,Mario Hernández,España,Barcelona
CL00014,cliente00014@bancofaro.es,Nuria Ruiz,España,Madrid
CL00015,cliente00015@bancofaro.es,Nuria Martín,España,Zaragoza
CL00016,cliente00016@bancofaro.es,Pablo Martín,España,Sevilla
CL00017,cliente00017@bancofaro.es,Carla Sánchez,España,Bilbao
CL00018,cliente00018@bancofaro.es,Lucía Ruiz,España,Barcelona
CL00019,cliente00019@bancofaro.es,Pablo Romero,España,Málaga
CL00020,cliente00020@bancofaro.es,Marta García,España,Madrid
CL00021,cliente00021@bancofaro.es,Ana Pérez,España,Alicante
CL00022,cliente00022@bancofaro.es,Jorge López,España,Zaragoza
CL00023,cliente00023@bancofaro.es,Laura García,España,Valencia
CL00024,cliente00024@bancofaro.es,Elena Díaz,Portugal,Zaragoza
CL00025,cliente00025@bancofaro.es,Bruno García,España,Valencia
CL00026,cliente00026@bancofaro.es,Elena Martín,España,Sevilla
CL00027,cliente00027@bancofaro.es,Ana Hernández,Italia,Barcelona
CL00028,cliente00028@bancofaro.es,Sergio Hernández,España,Bilbao
CL00029,cliente00029@bancofaro.es,Carla López,Portugal,Bilbao
CL00030,cliente00030@bancofaro.es,Sergio Hernández,España,Madrid
CL00031,cliente00031@bancofaro.es,Hugo Martín,España,Alicante
CL00032,cliente00032@bancofaro.es,Irene Ruiz,Italia,Bilbao
CL00033,cliente00033@bancofaro.es,Hugo López,España,Alicante
CL00034,cliente00034@bancofaro.es,Nuria Díaz,España,Madrid
CL00035,cliente00035@bancofaro.es,Carla Martín,España,Barcelona
CL00036,cliente00036@bancofaro.es,Hugo Martín,España,Zaragoza
CL00037,cliente00037@bancofaro.es,Sergio Navarro,España,Sevilla
CL00038,cliente00038@bancofaro.es,Marta Ruiz,España,Málaga
CL00039,cliente00039@bancofaro.es,Pablo Martín,España,Sevilla
CL00040,cliente00040@bancofaro.es,Carla García,España,Alicante
CL00041,cliente00041@bancofaro.es,Nuria Navarro,España,Alicante
CL00042,cliente00042@bancofaro.es,Sergio Ruiz,España,Barcelona
CL00043,cliente00043@bancofaro.es,Hugo Ruiz,España,Bilbao
CL00044,cliente00044@bancofaro.es,Bruno García,España,Zaragoza
CL00045,cliente00045@bancofaro.es,Sergio López,España,Valencia
CL00046,cliente00046@bancofaro.es,Ana Pérez,Portugal,Valencia
CL00047,cliente00047@bancofaro.es,Lucía Sánchez,España,Barcelona
CL00048,cliente00048@bancofaro.es,Elena Díaz,España,Málaga
CL00049,cliente00049@bancofaro.es,David López,Reino Unido,Bilbao
CL00050,cliente00050@bancofaro.es,Hugo Díaz,España,Sevilla
CL00051,cliente00051@bancofaro.es,Ana Díaz,Francia,Zaragoza
CL00052,cliente00052@bancofaro.es,Nuria López,España,Madrid
CL00053,cliente00053@bancofaro.es,Jorge Díaz,España,Sevilla
CL00054,cliente00054@bancofaro.es,Laura Ruiz,España,Zaragoza
CL00055,cliente00055@bancofaro.es,Ana Romero,Italia,Alicante
CL00056,cliente00056@bancofaro.es,Nuria Hernández,España,Zaragoza
CL00057,cliente00057@bancofaro.es,Hugo Sánchez,Francia,Zaragoza
CL00058,cliente00058@bancofaro.es,Lucía Díaz,Francia,Barcelona
CL00059,cliente00059@bancofaro.es,Nuria Sánchez,España,Sevilla
CL00060,cliente00060@bancofaro.es,Ana Martín,Italia,Sevilla
CL00061,cliente00061@bancofaro.es,Marta Romero,España,Sevilla
CL00062,cliente00062@bancofaro.es,Pablo Sánchez,España,Valencia
CL00063,cliente00063@bancofaro.es,Hugo Ruiz,España,Zaragoza
CL00064,cliente00064@bancofaro.es,Irene Romero,España,Bilbao
CL00065,cliente00065@bancofaro.es,Nuria Sánchez,España,Zaragoza
CL00066,cliente00066@bancofaro.es,Nuria Pérez,España,Zaragoza
CL00067,cliente00067@bancofaro.es,Pablo Martín,España,Sevilla
CL00068,cliente00068@bancofaro.es,Ana García,España,Barcelona
CL00069,cliente00069@bancofaro.es,Lucía Romero,España,Málaga
CL00070,cliente00070@bancofaro.es,Hugo Sánchez,España,Bilbao
CL00071,cliente00071@bancofaro.es,Hugo Romero,España,Bilbao
CL00072,cliente00072@bancofaro.es,David Sánchez,España,Málaga
CL00073,cliente00073@bancofaro.es,Lucía Ruiz,España,Alicante
CL00074,cliente00074@bancofaro.es,Irene Ruiz,España,Barcelona
CL00075,cliente00075@bancofaro.es,David Hernández,Portugal,Sevilla
CL00076,cliente00076@bancofaro.es,Elena Navarro,España,Madrid
CL00077,cliente00077@bancofaro.es,Elena Sánchez,España,Bilbao
CL00078,cliente00078@bancofaro.es,Pablo Díaz,España,Zaragoza
CL00079,cliente00079@bancofaro.es,David Navarro,España,Madrid
CL00080,cliente00080@bancofaro.es,Mario Sánchez,España,Barcelona
CL00081,cliente00081@bancofaro.es,Marta Romero,Francia,Valencia
CL00082,cliente00082@bancofaro.es,Hugo Ruiz,España,Valencia
CL00083,cliente00083@bancofaro.es,Lucía Navarro,España,Valencia
CL00084,cliente00084@bancofaro.es,Pablo López,España,Málaga
CL00085,cliente00085@bancofaro.es,Irene García,Portugal,Barcelona
CL00086,cliente00086@bancofaro.es,Laura Hernández,España,Madrid
CL00087,cliente00087@bancofaro.es,Jorge Hernández,Francia,Bilbao
CL00088,cliente00088@bancofaro.es,Hugo Romero,Alemania,Bilbao
CL00089,cliente00089@bancofaro.es,Nuria Martín,Alemania,Sevilla
CL00090,cliente00090@bancofaro.es,Elena Sánchez,España,Alicante
CL00091,cliente00091@bancofaro.es,Elena Sánchez,Italia,Sevilla
CL00092,cliente00092@bancofaro.es,Ana Navarro,España,Málaga
CL00093,cliente00093@bancofaro.es,Ana Sánchez,España,Barcelona
CL00094,cliente00094@bancofaro.es,Irene Romero,España,Sevilla
CL00095,cliente00095@bancofaro.es,Ana García,España,Valencia
CL00096,cliente00096@bancofaro.es,Bruno Martín,Reino Unido,Valencia
CL00097,cliente00097@bancofaro.es,Mario Pérez,España,Málaga
CL00098,cliente00098@bancofaro.es,Pablo Hernández,Italia,Alicante
CL00099,cliente00099@bancofaro.es,Mario Romero,Reino Unido,Valencia
CL00100,cliente00100@bancofaro.es,Elena López,España,Málaga
CL00101,cliente00101@bancofaro.es,Bruno López,España,Madrid
CL00102,cliente00102@bancofaro.es,Sofía Pérez,España,Sevilla
CL00103,cliente00103@bancofaro.es,Jorge Romero,España,Alicante
CL00104,cliente00104@bancofaro.es,Ana Díaz,Portugal,Málaga
CL00105,cliente00105@bancofaro.es,Laura Pérez,España,Alicante
CL00106,cliente00106@bancofaro.es,David Hernández,España,Barcelona
CL00107,cliente00107@bancofaro.es,Laura Sánchez,España,Barcelona
CL00108,cliente00108@bancofaro.es,Marta Martín,Italia,Zaragoza
CL00109,cliente00109@bancofaro.es,Sergio Romero,España,Valencia
CL00110,cliente00110@bancofaro.es,Ana López,Reino Unido,Valencia
CL00111,cliente00111@bancofaro.es,Nuria Díaz,España,Zaragoza
CL00112,cliente00112@bancofaro.es,Hugo Ruiz,España,Sevilla
CL00113,cliente00113@bancofaro.es,Elena García,Reino Unido,Sevilla
CL00114,cliente00114@bancofaro.es,Sergio Díaz,España,Zaragoza
CL00115,cliente00115@bancofaro.es,Mario Ruiz,España,Málaga
CL00116,cliente00116@bancofaro.es,Irene Sánchez,España,Valencia
CL00117,cliente00117@bancofaro.es,Jorge López,España,Bilbao
CL00118,cliente00118@bancofaro.es,Lucía Martín,Portugal,Valencia
CL00119,cliente00119@bancofaro.es,Mario García,España,Málaga
CL00120,cliente00120@bancofaro.es,Sofía García,España,Alicante
CL00121,cliente00121@bancofaro.es,Irene Martín,España,Zaragoza
CL00122,cliente00122@bancofaro.es,Ana Sánchez,España,Madrid
CL00123,cliente00123@bancofaro.es,Ana Martín,España,Bilbao
CL00124,cliente00124@bancofaro.es,Elena García,España,Sevilla
CL00125,cliente00125@bancofaro.es,Elena Pérez,España,Valencia
CL00126,cliente00126@bancofaro.es,Sergio Romero,Reino Unido,Barcelona
CL00127,cliente00127@bancofaro.es,Elena Díaz,Alemania,Bilbao
CL00128,cliente00128@bancofaro.es,Nuria Martín,España,Barcelona
CL00129,cliente00129@bancofaro.es,Carla Romero,Portugal,Zaragoza
CL00130,cliente00130@bancofaro.es,Sofía Díaz,España,Zaragoza
CL00131,cliente00131@bancofaro.es,Laura Pérez,España,Sevilla
CL00132,cliente00132@bancofaro.es,Elena López,España,Valencia
CL00133,cliente00133@bancofaro.es,Sofía Navarro,España,Zaragoza
CL00134,cliente00134@bancofaro.es,Mario Díaz,España,Alicante
CL00135,cliente00135@bancofaro.es,Irene Pérez,España,Bilbao
CL00136,cliente00136@bancofaro.es,Carla López,España,Madrid
CL00137,cliente00137@bancofaro.es,Ana Ruiz,España,Barcelona
CL00138,cliente00138@bancofaro.es,Jorge Romero,España,Bilbao
CL00139,cliente00139@bancofaro.es,Jorge Martín,Italia,Bilbao
CL00140,cliente00140@bancofaro.es,Jorge García,España,Madrid
CL00141,cliente00141@bancofaro.es,Laura Díaz,Italia,Málaga
CL00142,cliente00142@bancofaro.es,Mario Sánchez,Alemania,Valencia
CL00143,cliente00143@bancofaro.es,Mario Romero,España,Málaga
CL00144,cliente00144@bancofaro.es,Elena López,España,Zaragoza
CL00145,cliente00145@bancofaro.es,Nuria Martín,España,Bilbao
CL00146,cliente00146@bancofaro.es,Elena Martín,España,Málaga
CL00147,cliente00147@bancofaro.es,Marta Martín,Francia,Valencia
CL00148,cliente00148@bancofaro.es,Jorge Díaz,España,Sevilla
CL00149,cliente00149@bancofaro.es,Sergio Martín,España,Sevilla
CL00150,cliente00150@bancofaro.es,Sofía Ruiz,España,Valencia
CL00151,cliente00151@bancofaro.es,Mario Martín,España,Bilbao
CL00152,cliente00152@bancofaro.es,Sergio Martín,Portugal,Madrid
CL00153,cliente00153@bancofaro.es,Ana Navarro,Portugal,Málaga
CL00154,cliente00154@bancofaro.es,Pablo García,Francia,Bilbao
CL00155,cliente00155@bancofaro.es,Ana Sánchez,España,Madrid
CL00156,cliente00156@bancofaro.es,Jorge García,España,Alicante
CL00157,cliente00157@bancofaro.es,Sofía Pérez,España,Zaragoza
CL00158,cliente00158@bancofaro.es,Irene Pérez,España,Alicante
CL00159,cliente00159@bancofaro.es,Pablo Romero,España,Málaga
CL00160,cliente00160@bancofaro.es,Mario García,España,Zaragoza
CL00161,cliente00161@bancofaro.es,Mario Hernández,España,Barcelona
CL00162,cliente00162@bancofaro.es,Pablo Navarro,España,Valencia
CL00163,cliente00163@bancofaro.es,Bruno Martín,España,Zaragoza
CL00164,cliente00164@bancofaro.es,Pablo García,Francia,Valencia
CL00165,cliente00165@bancofaro.es,Mario Hernández,España,Barcelona
CL00166,cliente00166@bancofaro.es,Pablo Sánchez,España,Valencia
CL00167,cliente00167@bancofaro.es,Laura Navarro,España,Málaga
CL00168,cliente00168@bancofaro.es,Nuria Hernández,España,Málaga
CL00169,cliente00169@bancofaro.es,Marta Díaz,España,Valencia
CL00170,cliente00170@bancofaro.es,Marta Romero,España,Barcelona
CL00171,cliente00171@bancofaro.es,Mario Díaz,España,Madrid
CL00172,cliente00172@bancofaro.es,Bruno Pérez,España,Alicante
CL00173,cliente00173@bancofaro.es,Nuria García,Francia,Bilbao
CL00174,cliente00174@bancofaro.es,Carla Hernández,España,Zaragoza
CL00175,cliente00175@bancofaro.es,Jorge García,España,Barcelona
CL00176,cliente00176@bancofaro.es,Lucía Hernández,España,Málaga
CL00177,cliente00177@bancofaro.es,Carla Díaz,Italia,Madrid
CL00178,cliente00178@bancofaro.es,Marta García,España,Zaragoza
CL00179,cliente00179@bancofaro.es,Laura López,España,Alicante
CL00180,cliente00180@bancofaro.es,Sergio López,España,Málaga
CL00181,cliente00181@bancofaro.es,Sergio Pérez,España,Málaga
CL00182,cliente00182@bancofaro.es,Hugo Sánchez,España,Sevilla
CL00183,cliente00183@bancofaro.es,Bruno Romero,España,Barcelona
CL00184,cliente00184@bancofaro.es,Carla Hernández,Alemania,Alicante
CL00185,cliente00185@bancofaro.es,Bruno Díaz,Reino Unido,Málaga
CL00186,cliente00186@bancofaro.es,Elena Hernández,España,Bilbao
CL00187,cliente00187@bancofaro.es,Marta Romero,España,Madrid
CL00188,cliente00188@bancofaro.es,Pablo López,España,Bilbao
CL00189,cliente00189@bancofaro.es,Mario Martín,España,Bilbao
CL00190,cliente00190@bancofaro.es,Irene Díaz,Francia,Barcelona
CL00191,cliente00191@bancofaro.es,Jorge Sánchez,España,Zaragoza
CL00192,cliente00192@bancofaro.es,Bruno Sánchez,España,Valencia
CL00193,cliente00193@bancofaro.es,Irene Pérez,España,Madrid
CL00194,cliente00194@bancofaro.es,Nuria García,España,Valencia
CL00195,cliente00195@bancofaro.es,Ana Romero,España,Zaragoza
