CuentaID,IBAN,ClienteID,TipoCuenta,FechaApertura
AC00001,ES67660206461786660702,CL00787,Ahorro,2025-04-19
AC00002,ES69831999381727216730,CL00993,Ahorro,2024-12-17
AC00003,ES54930385377611659028,CL00140,Corriente,2025-08-26
AC00004,ES63133403950923513796,CL00473,Ahorro,2023-04-27
AC00005,ES48139106871877910894,CL00876,Corriente,2024-02-21
AC00006,ES57681614103347691727,CL00595,Corriente,2023-06-02
AC00007,ES79527694516077278345,CL00725,Corriente,2024-06-29
AC00008,ES79945042626551234921,CL01113,Ahorro,2024-03-21
AC00009,ES24245863572106039969,CL00639,Corriente,2023-08-05
AC00010,ES69545465972341192028,CL00348,Ahorro,2023-03-04
AC00011,ES74560309716914787174,CL00669,Ahorro,2025-08-25
AC00012,ES75322300898619288541,CL00242,Corriente,2025-10-01
AC00013,ES11485383646512668348,CL00073,Nómina,2023-11-18
AC00014,ES66885646866547626822,CL01152,Ahorro,2025-05-19
AC00015,ES65937205125725048854,CL00762,Corriente,2025-02-21
AC00016,ES66405546235106437927,CL00100,Ahorro,2025-12-19
AC00017,ES89192657547815869703,CL00152,Ahorro,2023-02-27
AC00018,ES56676595131477744304,CL00825,Nómina,2024-08-26
AC00019,ES22165496855540223446,CL00692,Ahorro,2024-04-11
AC00020,ES93381596595256548646,CL00596,Corriente,2023-03-29
AC00021,ES31172508388711241399,CL01007,Corriente,2026-01-12
AC00022,ES80626425359250933225,CL00855,Corriente,2025-12-15
AC00023,ES12697565503321805703,CL00791,Nómina,2024-01-04
AC00024,ES85787599963073967752,CL00284,Corriente,2026-01-30
AC00025,ES34721515506218197010,CL00474,Corriente,2025-02-12
AC00026,ES96144885997713714238,CL00924,Corriente,2025-11-09
AC00027,ES79144506636632295610,CL00403,Nómina,2024-06-19
AC00028,ES90469213685107402914,CL00850,Corriente,2023-04-13
AC00029,ES78941844261990546287,CL01132,Corriente,2023-09-07
AC00030,ES28591431482910899385,CL00363,Corriente,2024-09-05
AC00031,ES14333846702773849168,CL01162,Ahorro,2025-08-20
AC00032,ES82179089930140892088,CL00734,Ahorro,2023-02-04
AC00033,ES13148300794311115985,CL00654,Corriente,2026-01-10
AC00034,ES41472411447862153783,CL00399,Corriente,2023-07-02
AC00035,ES78370162024943055421,CL00091,Nómina,2023-07-02
AC00036,ES41535546456643338414,CL00460,Ahorro,2025-09-06
AC00037,ES75849531772186131101,CL00213,Ahorro,2024-01-25
AC00038,ES49353930668240917678,CL00927,Corriente,2025-08-20
AC00039,ES25728588833792985675,CL00903,Corriente,2024-08-12
AC00040,ES87890407364416015585,CL00269,Nómina,2024-04-18
AC00041,ES68955625325660566689,CL00593,Corriente,2025-10-14
AC00042,ES63821251762756829933,CL00993,Nómina,2025-06-27
AC00043,ES30863466593154476864,CL01190,Corriente,2024-10-21
AC00044,ES81470642115907432342,CL00963,Corriente,2023-07-17
AC00045,ES41361013705945204326,CL01033,Corriente,2023-09-21
AC00046,ES82845102968981848013,CL00599,Nómina,2025-12-20
AC00047,ES25852324070851508317,CL00529,Corriente,2025-12-16
